raison_soc;adresse;code_posta;commune;telephon;mail;site_inter;longitude;latitude
La Licorne;14 place Charles de Gaulle;47310;ROQUEFORT;+33 5 53 68 21 96;eric.labertrandie@wanadoo.fr;www.restaurant-la-licorne.com;0.559808;44.1750686
L'Aromatik;68 rue Richard Coeur de Lion;47000;AGEN;+33 5 53 68 81 03;;;0.6146818;44.2034182
L'Orangerie - Chƒteau de Lassalle;;47310;LAPLUME;+33 5 53 95 10 58 ou +33 6 22 32 15 49;info@chateaudelassalle.com;www.chateaudelassalle.com;0.532322;44.110689
La Table d'Antan;41 rue de la R‚publique;47240;BON-ENCONTRE;+33 5 53 77 97 00;tabledantan@yahoo.fr;www.table-d-antan-hotel.fr;0.6697139999999999;44.185922
L'arti show;25 rue des CorniŠres;47000;AGEN;+33 5 53 99 72 62 ou +33 6 42 21 02 78;;;0.61754938;44.2054993
Escale au Maroc;17 avenue du G‚n‚ral De Gaulle;47000;AGEN;+33 5 53 47 57 47;;www.escale-au-maroc.com;0.6113833;44.2033975
La Cigale;Place du Prieur‚;47310;MOIRAX;+33 5 53 99 61 56;;;0.608347;44.141456
La Palmeraie;34 avenue Michel Ricard;47520;LE PASSAGE;+33 5 53 96 19 13;brasserie.lapalmeraie@orange.fr;http://lapalmeraie-agen.fr;0.6049761;44.1929424
Auberge Le Prieur‚;Le bourg;47310;MOIRAX;+33 5 53 47 59 55;;http://aubergeduprieuredemoirax.fr/blog/;0.557821;44.17373
C“t‚ Jasmin;7 avenue du G‚n‚ral de Gaulle;47000;AGEN;+33 5 53 67 06 06;;;0.6113196;44.2029752
Es Vedra;97 P‚ristyle du Gravier;47000;AGEN;+33 5 53 95 75 07;;;0.6108686;44.2025196
Le Passage;;47520;LE PASSAGE;+33 5 53 77 32 40;lepassage47@orange.fr;www.restaurant-lepassage.fr;0.602179;44.200867
Philippe Vannier;66 rue Camille-Desmoulins;47000;AGEN;+33 5 53 66 63 70;restaurant-philippe-vannier@aliceadsl.fr;www.philippe-vannier.fr;0.6240623;44.2039384
La Part des Anges;14 rue Emile Sentini;47000;AGEN;+33 5 53 68 31 00;;www.lapartdesanges.eu;0.6216387999999999;44.2060637
Le 6 de Michel Latrille;6 rue Albert Ferasse;47550;BOE;+33 5 53 66 10 05;contact@latrille.com;www.latrille.com;0.6441101;44.1749628
Le P‚rigord;42 cours du 14 juillet;47000;AGEN;+33 5 53 77 55 77;leperigord47@free.fr;www.leperigord47.com;0.6255469;44.2053416
Bar Restaurant L'Escale;1 place de l'H“tel de Ville;47310;SERIGNAC-SUR-GARONNE;+33 5 53 95 38 79;farez.jean-luc@orange.fr;;0.48339307000000004;44.2146249
Brasserie des Platanes en Brulhois;Place Raoul Rogale;47220;CAUDECOSTE;+33 5 53 87 37 12;;;0.737374;44.1154214
C“t‚ Sud;36 Cours Gambetta;47000;AGEN;+33 5 53 96 16 67;;;0.6123775;44.1979366
Illi'co pizza;;47310;ROQUEFORT;+33 5 53 95 25 70;;;0.56183;44.173985
Le Joy's;Galerie marchande G‚ant Casino;47550;BOE;+33 5 53 96 10 00;mjmorlay@hotmail.fr;;0.6441101;44.1749628
Le stand;Route d'Astaffort;47220;CAUDECOSTE;+33 5 53 47 49 09;lestand47@orange.fr;;0.72778778;44.1057229
Le Washington;7 cours Washington;47000;AGEN;+33 5 53 48 25 50;patrick.pinard4@wanadoo.fr;www.le-washington.com;0.6180358;44.2013204
Campanile;Avenue Andr‚ Tissidre;47000;AGEN;+33 5 53 68 08 08;agen@campanile.fr;www.campanile-agen.fr;0.6251540999999999;44.2035321
La Bod‚ga;7 bis place Jasmin;47000;AGEN;+33 5 53 48 26 83;;;0.6122782999999999;44.2041529
Les All‚es;4 avenue Jean Coulon;47390;LAYRAC;+33 5 53 87 00 44;bardesallees@neuf.fr;;0.660689;44.134673
Au bon accueil;Place de la Craste;47220;ASTAFFORT;+33 5 53 67 11 52;;;0.65048933;44.0632744
La Traviata;39 avenue Charles De Gaulle;47000;AGEN;+33 5 53 47 46 79;;;0.6251540999999999;44.2035321
La Vign'aux Vins;19 boulevard Edouard Lacour;47000;AGEN;+33 5 53 66 51 85;lavignauxvins@bbox.fr;www.lavigneauxvins.com;0.6296615999999999;44.1906693
Au Colombier du Touron;187 avenue des Landes;47310;BRAX;+33 5 53 87 87 91;contact@colombierdutouron.com;www.colombierdutouron.com;0.552428;44.201535
Le 104;106 boulevard de la Libert‚;47000;AGEN;+33 9 82 33 07 60;;;0.6197886;44.1967697
Le Parc d'Aquitaine;Avenue d'Aquitaine;47550;BOE;+33 5 53 98 19 91;leparcdaquitaine@gmail.com;;0.634324;44.183278
Le Temps de Vivre;Blanchard;47450;SAINT-HILAIRE-DE-LUSIGNAN;+33 5 53 67 67 17;;;-0.443426;45.485517
Le Bistrot Voltaire;45 rue Voltaire;47000;AGEN;+33 5 53 47 62 42;;www.bistrotvoltaire.fr;0.61522857;44.2037259
L'Agenais;109 boulevard de la R‚publique;47000;AGEN;+33 5 53 68 09 37;;;0.6216980999999999;44.2054264
L'Amandine;46 et 57 rue Molinier;47000;AGEN;+33 5 53 66 89 33;;;0.6204037;44.2061067
L'Atelier;14 rue du Jeu de Paume;47000;AGEN;+33 5 53 87 89 22;restaurant.l.atelier@orange.fr;;0.6175779;44.2019116
Le Vieux Village;;47310;ESTILLAC;+33 5 53 67 62 61;;;0.564107;44.157168
La Claie des Vergers;2 Centre Commercial;47310;BRAX;+33 5 53 68 64 66;laclaiedesvergers@orange.fr;;0.551777;44.203042
Le Restaurant de l'Hippodrome;La Garenne;47520;LE PASSAGE;+33 5 53 96 23 66 ou +33 5 53 96 51 06;;;0.604959;44.175892
Les Copains d'abord;24 rue des CorniŠres;47000;AGEN;+33 5 53 87 73 06;;;0.61771906;44.2055841
Viva la Plancha;3 rue Emile Santini;47000;AGEN;+33 5 53 48 32 61;;www.restaurant-viva-la-plancha.fr;0.6251540999999999;44.2035321
Caf‚ du Centre;25 rue de la R‚publique;47240;BON-ENCONTRE;+33 5 53 96 77 61;;;0.6715981999999999;44.1860053
Le Cauquil;9 avenue du G‚n‚ral De Gaulle;47000;AGEN;+33 5 53 48 02 34;;;0.611518;44.203288
Le Nostradamus;40 rue des Nitiobriges;47000;AGEN;+33 5 53 47 01 02;contact@lenostradamus.com;www.lenostradamus.com;0.61454984;44.2211733
Brit H“tel Agen;Centre h“telier et routier;47520;LE PASSAGE;+33 5 53 96 36 35;aquitaine@brithotel.fr;http://hotel-agen.brithotel.fr;0.60304641;44.1638587
La Pataterie;Avenue de la Capelette D17;47550;BOE;+33 5 53 99 57 48;restaurant@lapatarie-agen.com;www.lapataterie.fr;0.6437904;44.1662345
Le Patio;677 avenue de la Lib‚ration;47450;COLAYRAC-SAINT-CIRQ;+33 5 53 95 59 06;lepatio47@orange.fr;;0.552055;44.2193729
Imp‚rial Buffet;21 avenue de Bigorre;47550;BOE;+33 5 53 47 37 37;imperialboe@gmail.com;www.imperial-buffet.fr;0.63185;44.1863303
La Table d'Armandie;1350 Avenue du Midi;47000;AGEN;+33 5 53 96 15 15;latable.darmandie@orange.fr;http://latabledarmandie.fr/;0.616734;44.185491999999996
Le Toucan;2 route d'Agen;47310;ROQUEFORT;+33 5 53 67 23 29;;;0.5606251;44.1758437
Restaurant de la Paix;13 Grande Rue;47310;LAPLUME;+33 5 53 95 96 35;frederic.boyer.laplume@wanadoo.fr;;0.5307265;44.1120922
Restaurant de la Seoune;RN 113;47240;LAFOX;+33 5 53 87 58 28;;;0.699241;44.169064
Crˆperie des CorniŠres;5 rue des CorniŠres;47000;AGEN;+33 5 53 66 52 37;begicepian@neuf.fr;;0.6168043;44.2050554
Al Dente;11 rue Molinier;47000;AGEN;+33 5 53 48 03 32;;;0.6187444;44.2058614
La Table des CorniŠres;14 rue des CorniŠres;47000;AGEN;+33 5 53 66 60 24;;;0.6175065;44.2053215
L'Aubade;3 rue des Droits de L'Homme;47000;AGEN;+33 5 53 66 63 83;laubade@live.fr;www.creperieresto-laubade.com;0.6175138;44.2032695
L'Escapade;105 boulevard du Pr‚sident Carnot;47000;AGEN;+33 5 53 47 58 58;contact@stimotel.com;www.stimotel.com;0.6205298;44.2036959
Mariottat;25 rue Louis Vivent;47000;AGEN;+33 5 53 77 99 77;contact@restaurant-mariottat.com;www.restaurant-mariottat.com;0.6132306;44.2018173
De L'un Allot're;;47550;BOE;+33 5 53 87 65 69;;http://domaine-dallot.fr/;0.6441101;44.1749628
La Boucherie;Boulevard Sylvain Dumon;47000;AGEN;+33 5 53 67 08 60;laboucherie.restaurantagen@gmail.com;www.la-boucherie.fr;0.623184;44.207348
L'Hermine;21 rue Voltaire;47000;AGEN;+33 5 53 66 14 76;;;0.6139582;44.2041041
Asta Pizza;5 place de l'H“tel de Ville;47220;ASTAFFORT;+33 5 53 68 37 74 ou +33 6 42 99 67 19;;;0.6513508100000001;44.0647067
L'Auberge du Brulhois;3 avenue d'Agen;47220;ASTAFFORT;+33 5 53 66 04 79;aubergedubrulhois@gmail.com;www.aubergedubrulhois.com;0.64988;44.06502
Le Grand Caf‚ Foy;22 avenue du G‚n‚ral De Gaulle;47000;AGEN;+33 5 53 48 13 84;grandcafefoyagen@orange.fr;;0.6118923;44.2040612
Le Margoton;52 rue Richard Coeur de Lion;47000;AGEN;+33 5 53 48 11 55;contact@lemargoton.com;www.lemargoton.com;0.6141319;44.2030217
Les Recettes de Mamie;16 rue Jean JaurŠs;47550;BOE;+33 5 53 87 96 08;;;0.6381581;44.1777759
Caf‚ des Arts;2 rue de Cessac;47000;AGEN;+33 5 53 66 01 49;;;0.6159034999999999;44.2029371
La Grande Brasserie;1 place Rabelais;47000;AGEN;+33 5 53 67 17 37;pxagen@gmail.com;;0.62088389;44.207897
La Table en Brulhois;Place de la Batellerie;47220;SAINT-SIXTE;+33 5 53 47 82 29;latableen.brulhois@me.com;;0.78316748;44.1281562
L'Auteuil;3 route de N‚rac;47520;LE PASSAGE;+33 5 53 95 88 64;;;0.5939089;44.1935774
